('Tax Provision', '18,061,000', '14,527,000', '9,680,000', '10,481,000', '13,372,000')
         515312 function calls (496468 primitive calls) in 7.897 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
       31    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       51    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        2    0.000    0.000    0.001    0.000 request.py:2488(getproxies_environment)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        2    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
      199    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
       42    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       12    0.000    0.000    0.000    0.000 queue.py:154(get)
      335    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      197    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      467    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
        2    0.000    0.000    0.002    0.001 core.py:1(<module>)
      998    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
    39/18    0.000    0.000    0.142    0.008 {built-in method builtins.__import__}
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
       38    0.000    0.000    0.001    0.000 typing.py:1137(__getitem__)
       12    0.000    0.000    0.001    0.000 enum.py:947(_create_pseudo_member_)
    43/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       63    0.000    0.000    0.000    0.000 element.py:810(<genexpr>)
        1    0.000    0.000    0.028    0.028 connectionpool.py:1(<module>)
        8    0.000    0.000    0.000    0.000 message.py:462(get)
      505    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       10    0.000    0.000    0.003    0.000 enum.py:483(_create_)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
      218    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7fde8d9cb1c0}
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       29    0.000    0.000    0.000    0.000 ipaddress.py:1609(_ip_int_from_string)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:986(update)
       65    0.000    0.000    0.001    0.000 typing.py:1146(copy_with)
      810    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       19    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       22    0.000    0.000    0.000    0.000 response.py:740(_update_chunk_length)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
      402    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    42/30    0.000    0.000    0.010    0.000 css_parser.py:581(parse_pseudo_class)
      174    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
        1    0.000    0.000    0.095    0.095 __init__.py:120(__init__)
        1    0.000    0.000    0.000    0.000 cookies.py:23(MockRequest)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
  429/427    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      270    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       27    0.000    0.000    0.744    0.028 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.027    0.027 dammit.py:67(EntitySubstitution)
        8    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
       10    0.000    0.000    0.000    0.000 parse.py:372(urlparse)
      323    0.000    0.000    0.000    0.000 enum.py:801(value)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        5    0.000    0.000    0.000    0.000 client.py:1238(putheader)
       97    0.000    0.000    0.001    0.000 typing.py:947(__init__)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      167    0.000    0.000    0.005    0.000 sre_parse.py:96(closegroup)
       21    0.000    0.000    1.439    0.069 models.py:812(generate)
      348    0.000    0.000    0.000    0.000 os.py:697(__iter__)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        4    0.000    0.000    0.002    0.000 ssl_match_hostname.py:25(_dnsname_match)
       54    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       11    0.000    0.000    0.000    0.000 parse.py:437(urlsplit)
        2    0.000    0.000    0.002    0.001 _collections.py:92(clear)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      481    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        3    0.000    0.000    0.006    0.002 request.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client.py:206(_read_headers)
      136    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:387(_freeze_relations)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       93    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    1.133    1.133 connectionpool.py:361(_make_request)
        1    0.000    0.000    0.062    0.062 css_parser.py:1(<module>)
    38/29    0.000    0.000    0.010    0.000 css_parser.py:741(parse_pseudo_open)
      151    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      368    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       23    0.000    0.000    0.000    0.000 _collections.py:156(__getitem__)
       31    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
       16    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        4    0.000    0.000    0.000    0.000 message.py:497(get_all)
        1    0.000    0.000    2.576    2.576 sessions.py:671(send)
      181    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       23    0.000    0.000    0.000    0.000 threading.py:359(notify)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        2    0.000    0.000    0.010    0.005 api.py:1(<module>)
      313    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       23    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      172    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      462    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        2    0.000    0.000    0.004    0.002 models.py:1(<module>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1202(_parse_octet)
       21    0.000    0.000    1.439    0.069 response.py:606(stream)
       91    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.001    0.001 client.py:1284(_send_request)
        1    0.000    0.000    0.000    0.000 timeout.py:165(from_float)
       25    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
      149    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
       27    0.000    0.000    0.001    0.000 typing.py:1222(__getitem__)
        1    0.000    0.000    0.000    0.000 message.py:945(MIMEPart)
       40    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
        1    0.000    0.000    0.006    0.006 ssl.py:1(<module>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       22    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       60    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       19    0.000    0.000    0.000    0.000 _collections.py:215(add)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        2    0.000    0.000    0.025    0.012 connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 response.py:14(addbase)
       16    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
